cell_id,NRAS.1.115258747.C,NPM1.5.170837543.C,WT1.11.32417907.G
c1492,18,20,53
c1493,19,6,83
c1494,28,25,35
c1495,15,18,38
c1496,9,27,20
c1497,6,6,46
c1498,15,18,43
c1499,6,11,74
c1500,18,23,77
c1501,3,49,55
c1502,19,11,92
c1503,40,5,80
c1504,11,6,25
c1505,3,40,36
c1506,20,41,65
c1507,10,10,40
c1508,11,21,17
c1509,21,37,54
c1510,16,42,69
c1511,12,6,29
c1512,34,21,37
c1513,23,6,69
c1514,29,22,54
c1515,18,20,36
c1516,18,12,99
c1517,32,17,40
c1518,22,40,35
c1519,20,5,59
c1520,10,12,55
c1521,9,2,38
c1522,6,22,37
c1523,12,0,49
c1524,22,35,34
c1525,11,8,13
c1526,2,36,27
c1527,31,36,56
c1528,11,34,51
c1529,9,10,94
c1530,18,17,23
c1531,1,3,77
c1532,12,5,30
c1533,14,19,53
c1534,4,5,25
c1535,9,3,26
c1536,13,0,93
c1537,18,18,42
c1538,15,4,26
c1539,12,7,84
c1540,23,33,56
c1541,33,40,69
c1542,10,14,48
c1543,13,15,48
c1544,18,10,7
c1545,5,3,38
c1546,6,12,66
c1547,30,8,88
c1548,16,10,71
c1549,11,13,97
c1550,16,66,29
c1551,5,8,26
c1552,22,12,34
c1553,20,10,42
c1554,7,6,21
c1555,18,20,33
c1556,7,5,44
c1557,14,20,61
c1558,5,42,41
c1559,45,27,39
c1560,18,5,80
c1561,40,33,105
c1562,5,31,69
c1563,16,21,30
c1564,16,48,25
c1565,17,5,51
c1566,7,1,35
c1567,19,25,75
c1568,2,6,54
c1569,9,2,29
c1570,11,20,34
c1571,7,8,47
c1572,10,10,19
c1573,3,40,27
c1574,17,11,73
c1575,21,27,51
c1576,5,5,22
c1577,9,18,16
c1578,12,2,55
c1579,10,4,57
c1580,20,56,59
c1581,40,32,72
c1582,15,56,14
c1583,19,41,90
c1584,20,7,39
c1585,7,3,10
c1586,11,35,43
c1587,24,48,35
c1588,16,27,37
c1589,17,12,39
c1590,3,32,21
c1591,10,4,32
c1592,10,0,41
c1593,6,2,30
c1594,17,19,27
c1595,16,61,38
c1596,4,9,27
c1597,5,16,35
c1598,20,16,14
c1599,5,3,31
c1600,19,37,62
c1601,16,40,28
c1602,13,0,32
c1603,4,3,44
c1604,8,4,32
c1605,13,12,113
c1606,24,72,49
c1607,33,70,91
c1608,24,52,54
c1609,9,12,35
c1610,3,13,25
c1611,16,61,23
c1612,11,2,26
c1613,35,36,55
c1614,15,21,61
c1615,10,52,48
c1616,18,63,37
c1617,7,21,22
c1618,7,12,54
c1619,11,28,25
c1620,24,42,41
c1621,6,29,50
c1622,8,4,48
c1623,9,12,61
c1624,9,13,35
c1625,14,18,40
c1626,7,11,11
c1627,9,52,46
c1628,18,18,54
c1629,13,11,34
c1630,4,36,46
c1631,24,10,30
c1632,18,20,54
c1633,16,38,41
c1634,5,8,27
c1635,24,24,23
c1636,22,20,31
c1637,25,9,158
c1638,6,1,20
c1639,11,54,26
c1640,22,13,13
c1641,2,5,33
c1642,6,11,29
c1643,12,29,31
c1644,4,11,23
c1645,18,12,67
c1646,27,58,39
c1647,13,18,53
c1648,10,12,19
c1649,23,30,52
c1650,20,49,29
c1651,18,3,27
c1652,12,1,22
c1653,10,49,47
c1654,6,18,38
c1655,19,37,18
c1656,18,39,109
c1657,8,44,45
c1658,9,12,22
c1659,5,0,24
c1660,3,4,18
c1661,4,13,9
c1662,22,4,46
c1663,4,10,32
c1664,14,37,54
c1665,4,4,37
c1666,4,12,42
c1667,8,10,45
c1668,10,12,38
c1669,5,2,47
c1670,8,60,25
c1671,10,55,54
c1672,9,10,22
c1673,20,13,30
c1674,34,54,54
c1675,2,6,55
c1676,8,40,33
c1677,2,5,32
c1678,10,31,39
c1679,18,18,41
c1680,13,18,77
c1681,9,6,27
c1682,9,9,36
c1683,26,29,68
c1684,28,28,72
c1685,10,7,63
c1686,6,36,44
c1687,4,14,32
c1688,15,39,61
c1689,2,6,24
c1690,12,2,23
c1691,12,15,50
c1692,35,126,52
c1693,5,9,70
c1694,10,10,30
c1695,6,6,29
c1696,17,22,47
c1697,13,28,34
c1698,18,11,48
c1699,23,73,89
c1700,2,4,19
c1701,19,4,20
c1702,24,66,64
c1703,26,24,79
c1704,16,50,30
c1705,12,15,25
c1706,3,3,24
c1707,16,8,30
c1708,7,20,26
c1709,10,11,36
c1710,22,47,48
c1711,11,21,31
c1712,2,4,67
c1713,5,4,42
c1714,9,36,53
c1715,10,10,18
c1716,11,24,40
c1717,24,11,54
c1718,30,15,20
c1719,5,20,24
c1720,27,18,25
c1721,10,14,23
c1722,23,51,43
c1723,10,12,24
c1724,14,22,51
c1725,18,0,55
c1726,13,57,28
c1727,7,10,34
c1728,12,7,78
c1729,20,16,14
c1730,15,18,22
c1731,11,73,36
c1732,14,22,26
c1733,10,4,34
c1734,3,7,27
c1735,18,5,19
c1736,18,32,0
c1737,24,0,22
c1738,12,44,64
c1739,5,14,41
c1740,24,25,53
c1741,11,25,38
c1742,6,8,35
c1743,8,3,43
c1744,6,11,31
c1745,11,33,14
c1746,9,11,104
c1747,12,8,20
c1748,4,8,32
c1749,12,88,52
c1750,28,22,73
c1751,36,35,66
c1752,13,3,36
c1753,30,70,45
c1754,27,20,60
c1755,13,39,43
c1756,24,28,80
c1757,16,51,85
c1758,6,35,36
c1759,18,2,51
c1760,14,13,50
c1761,19,15,80
c1762,4,0,39
c1763,29,16,53
c1764,11,24,32
c1765,15,11,33
c1766,16,16,29
c1767,6,30,32
c1768,12,9,66
c1769,13,19,42
c1770,15,43,61
c1771,6,2,37
c1772,28,18,49
c1773,13,34,50
c1774,7,2,40
c1775,12,52,30
c1776,42,43,50
c1777,9,8,61
c1778,4,16,41
c1779,10,13,44
c1780,22,37,71
c1781,5,16,13
c1782,3,3,36
c1783,18,45,80
c1784,26,42,34
c1785,13,31,21
c1786,8,3,26
c1787,24,25,24
c1788,33,15,24
c1789,11,9,48
c1790,28,36,45
c1791,20,32,13
c1792,16,22,32
c1793,16,23,25
c1794,8,7,39
c1795,12,35,31
c1796,17,20,35
c1797,11,14,27
c1798,18,32,19
c1799,2,2,42
c1800,13,42,26
c1801,13,15,47
c1802,35,32,87
c1803,4,2,36
c1804,15,14,41
c1805,28,26,103
c1806,14,20,47
c1807,8,88,48
c1808,14,24,64
c1809,5,3,23
c1810,13,30,9
c1811,18,52,54
c1812,14,17,69
c1813,12,15,44
c1814,44,64,44
c1815,18,82,22
c1816,12,16,31
c1817,30,62,53
c1818,7,5,49
c1819,63,43,60
c1820,35,69,48
c1821,8,26,35
c1822,2,2,31
c1823,10,18,63
c1824,11,9,36
c1825,27,78,52
c1826,3,4,45
c1827,15,4,56
c1828,8,12,36
c1829,14,34,32
c1830,11,5,30
c1831,4,6,38
c1832,7,17,49
c1833,28,53,48
c1834,12,62,23
c1835,21,50,67
c1836,10,11,47
c1837,10,34,26
c1838,9,3,39
c1839,22,34,23
c1840,11,0,73
c1841,24,6,81
c1842,14,8,59
c1843,11,0,40
c1844,3,3,50
c1845,11,23,60
c1846,13,50,46
c1847,6,19,35
c1848,19,28,88
c1849,15,35,33
c1850,19,21,47
c1851,31,42,112
c1852,5,2,28
c1853,13,58,24
c1854,17,21,70
c1855,10,38,38
c1856,17,12,20
c1857,24,60,53
c1858,1,11,24
c1859,21,67,27
c1860,12,2,23
c1861,23,95,86
c1862,7,7,11
c1863,7,26,33
c1864,11,7,106
c1865,12,55,61
c1866,14,43,33
c1867,9,33,44
c1868,17,8,110
c1869,23,24,21
c1870,24,27,51
c1871,9,55,36
c1872,5,6,74
c1873,6,74,31
c1874,22,36,41
c1875,12,8,36
c1876,12,39,43
c1877,30,34,72
c1878,17,19,46
c1879,8,8,74
c1880,18,22,20
c1881,22,10,73
c1882,4,11,30
c1883,15,14,39
c1884,27,20,69
c1885,27,56,45
c1886,44,50,39
c1887,20,36,96
c1888,11,4,89
c1889,32,36,122
c1890,11,11,64
c1891,18,2,36
c1892,6,3,30
c1893,19,4,32
c1894,10,17,35
c1895,26,54,86
c1896,14,9,21
c1897,4,25,28
c1898,8,30,64
c1899,9,57,51
c1900,3,2,12
c1901,9,4,43
c1902,10,13,21
c1903,26,47,74
c1904,15,44,65
c1905,12,7,37
c1906,5,10,74
c1907,12,49,71
c1908,6,19,28
c1909,18,6,36
c1910,10,7,22
c1911,4,63,28
c1912,2,10,59
c1913,25,77,29
c1914,2,13,39
c1915,23,45,41
c1916,21,13,77
c1917,29,57,97
c1918,26,24,30
c1919,7,2,21
c1920,11,52,86
c1921,12,33,14
c1922,14,52,38
c1923,35,37,52
c1924,13,5,60
c1925,10,57,33
c1926,12,15,34
c1927,15,18,73
c1928,35,6,41
c1929,9,4,25
c1930,15,19,47
c1931,12,0,24
c1932,25,32,41
c1933,13,10,10
c1934,10,8,22
c1935,2,7,76
c1936,18,5,34
c1937,10,40,58
c1938,27,66,34
c1939,19,18,88
c1940,20,32,22
c1941,10,8,40
c1942,14,3,57
c1943,10,8,53
c1944,6,6,71
c1945,13,40,23
c1946,7,0,45
c1947,25,27,72
c1948,15,13,32
c1949,26,33,55
c1950,15,46,32
c1951,18,80,69
c1952,13,16,53
c1953,11,3,33
c1954,14,6,53
c1955,12,12,22
c1956,4,8,32
c1957,24,20,34
c1958,29,52,39
c1959,18,25,35
c1960,17,39,99
c1961,3,6,30
c1962,28,85,41
c1963,13,21,50
c1964,14,16,57
c1965,10,12,60
c1966,7,19,50
c1967,12,13,55
c1968,13,6,23
c1969,11,1,22
c1970,2,23,45
c1971,1,1,24
c1972,11,21,57
c1973,1,12,24
c1974,29,26,64
c1975,5,2,54
c1976,76,56,107
c1977,21,105,38
c1978,29,94,76
c1979,13,9,35
c1980,18,22,60
c1981,12,23,19
c1982,9,35,65
c1983,13,12,27
c1984,25,63,46
c1985,16,30,17
c1986,23,41,24
c1987,12,38,19
c1988,10,15,79
c1989,6,24,43
c1990,6,4,51
c1991,3,5,39
c1992,29,25,73
c1993,12,57,30
c1994,13,14,33
c1995,16,20,45
c1996,15,5,26
c1997,8,18,39
c1998,8,44,30
c1999,5,3,20
c2000,10,2,13
c2001,56,92,74
c2002,5,41,16
c2003,7,14,64
c2004,6,0,78
c2005,8,13,54
c2006,31,40,49
c2007,11,33,64
c2008,19,7,72
c2009,11,16,21
c2010,9,8,46
c2011,13,93,34
c2012,4,5,12
c2013,13,25,27
c2014,17,67,32
c2015,7,5,30
c2016,3,7,74
c2017,13,37,45
c2018,7,11,56
c2019,11,9,43
c2020,30,127,106
c2021,8,2,16
c2022,12,17,29
c2023,7,0,50
c2024,24,37,28
c2025,10,26,44
c2026,16,25,39
c2027,4,19,30
c2028,14,46,47
c2029,5,6,79
c2030,12,4,27
c2031,14,40,101
c2032,3,18,71
c2033,13,26,26
c2034,2,5,49
c2035,7,27,42
c2036,16,22,38
c2037,18,36,61
c2038,7,22,35
c2039,23,27,51
c2040,20,28,31
c2041,18,54,30
c2042,27,43,82
c2043,10,14,54
c2044,9,26,77
c2045,10,17,45
c2046,12,15,104
c2047,23,11,45
c2048,20,18,65
c2049,26,19,82
c2050,12,34,44
c2051,38,33,49
c2052,6,10,15
c2053,23,53,75
c2054,20,47,76
c2055,7,11,23
c2056,12,20,37
c2057,13,0,57
c2058,19,117,59
c2059,25,3,37
c2060,7,12,41
c2061,3,2,38
c2062,13,2,56
c2063,5,7,25
c2064,3,52,16
c2065,5,7,37
c2066,12,0,16
c2067,20,15,23
c2068,4,8,28
c2069,20,17,45
c2070,7,6,74
c2071,2,3,74
c2072,16,2,50
c2073,22,35,56
c2074,3,6,66
c2075,20,12,24
c2076,9,29,17
c2077,11,18,30
c2078,9,39,23
c2079,9,18,58
c2080,13,23,32
c2081,6,0,27
c2082,15,38,53
c2083,13,24,34
c2084,13,12,27
c2085,5,34,80
c2086,23,82,43
c2087,9,0,37
c2088,23,98,43
c2089,8,17,45
c2090,12,0,50
c2091,15,2,35
c2092,20,2,27
c2093,5,1,51
c2094,19,66,39
c2095,11,7,36
c2096,10,99,53
c2097,17,19,17
c2098,14,45,59
c2099,20,9,63
c2100,21,8,26
c2101,7,23,31
c2102,9,42,44
c2103,11,41,15
c2104,7,1,72
c2105,11,70,42
c2106,19,24,29
c2107,43,31,18
c2108,24,0,36
c2109,13,14,55
c2110,6,52,44
c2111,29,68,93
c2112,5,6,34
c2113,22,22,51
c2114,15,26,63
c2115,9,13,32
c2116,18,47,58
c2117,17,9,28
c2118,28,38,28
c2119,14,19,69
c2120,17,51,51
c2121,3,26,48
c2122,16,20,119
c2123,6,4,74
c2124,16,49,63
c2125,11,10,53
c2126,3,0,50
c2127,24,29,24
c2128,13,22,96
c2129,11,7,48
c2130,9,52,55
c2131,13,21,30
c2132,33,30,90
c2133,4,6,30
c2134,3,2,49
c2135,31,4,95
c2136,50,59,30
c2137,15,5,103
c2138,12,11,48
c2139,22,2,29
c2140,10,50,33
c2141,1,5,86
c2142,11,5,39
c2143,12,10,37
c2144,6,15,27
c2145,4,8,60
c2146,6,10,50
c2147,12,19,25
c2148,12,29,57
c2149,7,0,29
c2150,13,20,64
c2151,2,1,36
c2152,11,32,38
c2153,9,2,43
c2154,13,44,22
c2155,20,40,56
c2156,17,12,18
c2157,7,3,65
c2158,24,15,72
c2159,23,9,49
c2160,6,10,66
c2161,11,5,25
c2162,43,13,41
c2163,21,29,48
c2164,6,32,37
c2165,6,2,37
c2166,15,10,72
c2167,10,7,65
c2168,12,35,38
c2169,3,8,47
c2170,6,8,18
c2171,18,21,79
c2172,13,42,50
c2173,14,6,57
c2174,6,1,30
c2175,17,12,19
c2176,12,16,42
c2177,9,36,57
c2178,10,3,40
c2179,4,10,74
c2180,2,43,57
c2181,17,7,27
c2182,9,47,27
c2183,11,6,27
c2184,14,10,37
c2185,7,12,75
c2186,14,8,78
c2187,11,12,31
c2188,19,10,81
c2189,1,4,32
c2190,39,23,20
c2191,22,4,47
c2192,24,38,20
c2193,28,15,58
c2194,7,52,24
c2195,6,0,47
c2196,30,76,70
c2197,4,47,50
c2198,11,2,25
c2199,14,32,18
c2200,6,6,35
c2201,12,33,33
c2202,7,16,38
c2203,9,21,40
c2204,14,32,64
c2205,8,40,35
c2206,14,15,58
c2207,20,35,79
c2208,11,15,13
c2209,25,16,31
c2210,6,7,12
c2211,4,0,55
c2212,17,38,28
c2213,4,10,35
c2214,10,16,34
c2215,16,43,38
c2216,24,26,47
c2217,36,13,28
c2218,74,32,159
c2219,9,10,51
c2220,15,3,43
c2221,23,50,68
c2222,3,5,50
c2223,16,12,79
c2224,8,51,81
c2225,3,18,37
c2226,12,53,67
c2227,7,10,40
c2228,3,10,18
c2229,21,32,14
c2230,14,4,58
c2231,2,18,27
c2232,25,99,85
c2233,26,2,37
c2234,10,20,32
c2235,10,17,33
c2236,9,6,42
c2237,36,49,61
c2238,2,8,40
c2239,13,0,19
c2240,22,31,59
c2241,20,4,51
c2242,15,4,61
c2243,10,0,110
c2244,3,53,45
c2245,23,46,87
c2246,5,1,41
c2247,7,11,53
c2248,12,19,60
c2249,4,5,51
c2250,28,23,65
c2251,15,17,46
c2252,16,24,107
c2253,15,4,42
c2254,14,2,24
c2255,7,6,42
c2256,23,66,66
c2257,0,23,20
c2258,17,14,35
c2259,10,21,53
c2260,3,7,26
c2261,21,11,31
c2262,22,35,76
c2263,8,9,33
c2264,3,4,44
c2265,19,12,20
c2266,21,10,108
c2267,8,29,56
c2268,13,16,50
c2269,23,28,65
c2270,18,23,21
c2271,9,36,58
c2272,11,26,65
c2273,32,32,63
c2274,11,6,35
c2275,33,14,73
c2276,8,19,29
c2277,15,32,40
c2278,13,32,24
c2279,11,24,36
c2280,40,42,63
c2281,10,37,52
c2282,13,30,32
c2283,16,32,42
c2284,4,36,77
c2285,15,0,31
c2286,27,61,29
c2287,15,0,31
c2288,16,53,42
c2289,21,34,97
c2290,13,27,51
c2291,14,1,55
c2292,22,15,72
c2293,21,12,41
c2294,3,0,40
c2295,12,37,61
c2296,15,24,18
c2297,1,7,94
c2298,19,18,46
c2299,5,4,63
c2300,27,17,47
c2301,40,69,87
c2302,21,27,54
c2303,3,11,51
c2304,13,19,20
c2305,7,6,27
c2306,17,28,56
c2307,8,0,35
c2308,11,4,87
c2309,15,13,69
c2310,8,45,66
c2311,10,21,58
c2312,8,4,26
c2313,8,12,42
c2314,5,7,43
c2315,20,34,55
c2316,21,12,24
c2317,9,0,35
c2318,5,3,66
c2319,38,13,152
c2320,29,17,38
c2321,2,16,27
c2322,16,8,27
c2323,12,46,68
c2324,9,4,60
c2325,27,4,61
c2326,24,24,59
c2327,13,8,24
c2328,28,68,56
c2329,13,19,42
c2330,17,19,68
c2331,5,33,37
c2332,13,15,24
c2333,9,42,17
c2334,46,60,80
c2335,14,10,44
c2336,18,57,31
c2337,1,38,56
c2338,12,22,62
c2339,5,17,36
c2340,19,26,53
c2341,8,42,56
c2342,32,57,51
c2343,13,16,37
c2344,7,7,21
c2345,43,13,84
c2346,12,49,27
c2347,12,14,37
c2348,24,38,57
c2349,9,14,21
c2350,5,14,10
c2351,10,0,68
c2352,33,32,104
c2353,5,3,32
c2354,16,50,47
c2355,30,28,22
c2356,25,19,60
c2357,19,11,65
c2358,8,23,72
c2359,15,33,39
c2360,13,4,19
c2361,13,2,50
c2362,25,7,25
c2363,8,13,47
c2364,20,37,55
c2365,5,10,24
c2366,13,6,90
c2367,15,15,30
c2368,12,12,71
c2369,7,4,59
c2370,4,6,69
c2371,7,8,21
c2372,14,10,82
c2373,12,1,52
c2374,4,46,25
c2375,7,41,15
c2376,23,34,85
c2377,17,19,37
c2378,18,27,55
c2379,8,6,39
c2380,3,10,105
c2381,9,6,63
c2382,10,15,26
c2383,14,34,32
c2384,13,34,41
c2385,15,10,42
c2386,15,34,78
c2387,5,6,66
c2388,9,26,25
c2389,2,0,68
c2390,8,5,43
c2391,17,2,87
c2392,8,31,85
c2393,30,20,60
c2394,15,17,75
c2395,39,9,67
c2396,7,8,43
c2397,22,16,36
c2398,20,24,29
c2399,17,2,36
c2400,12,24,55
c2401,6,29,41
c2402,0,5,58
c2403,19,4,31
c2404,10,18,56
c2405,26,51,31
c2406,19,9,54
c2407,8,24,43
c2408,3,7,74
c2409,11,10,20
c2410,12,6,28
c2411,35,24,30
c2412,7,5,41
c2413,11,31,32
c2414,13,13,25
c2415,12,14,43
c2416,7,10,66
c2417,15,41,20
c2418,13,12,43
c2419,21,58,48
c2420,7,12,24
c2421,2,24,45
c2422,11,20,17
c2423,4,31,27
c2424,8,33,10
c2425,7,22,35
c2426,6,24,34
c2427,4,7,52
c2428,17,44,59
c2429,11,1,55
c2430,23,12,67
c2431,24,8,82
c2432,9,22,31
c2433,20,19,43
c2434,20,5,21
c2435,11,38,58
c2436,22,21,48
c2437,8,4,41
c2438,21,23,49
c2439,28,27,61
c2440,9,26,47
c2441,8,8,33
c2442,5,8,36
c2443,3,2,30
c2444,15,14,51
c2445,15,7,34
c2446,7,2,50
c2447,15,32,63
c2448,19,41,44
c2449,3,6,19
c2450,12,7,24
c2451,15,8,36
c2452,15,20,16
c2453,20,63,34
c2454,25,15,30
c2455,2,3,26
c2456,21,14,25
c2457,13,15,85
c2458,14,33,50
c2459,19,6,41
c2460,24,51,44
c2461,49,20,95
c2462,21,0,46
c2463,14,15,41
c2464,26,42,56
c2465,9,20,39
c2466,22,37,37
c2467,15,0,38
c2468,12,7,28
c2469,16,16,48
c2470,2,7,28
c2471,13,32,37
c2472,2,5,40
c2473,13,35,19
c2474,20,50,41
c2475,41,47,68
c2476,6,66,41
c2477,10,20,36
c2478,4,2,27
c2479,15,13,11
c2480,12,9,42
c2481,17,12,42
c2482,5,23,57
c2483,38,11,59
c2484,8,0,49
c2485,12,11,32
c2486,13,8,17
c2487,34,33,55
c2488,23,16,22
c2489,17,0,45
c2490,25,9,48
c2491,12,11,100
c2492,25,42,28
c2493,8,4,85
c2494,2,2,59
c2495,20,4,126
c2496,7,29,45
c2497,8,3,79
c2498,10,14,38
c2499,13,18,27
c2500,16,36,49
c2501,15,21,32
c2502,15,20,22
c2503,13,33,72
c2504,7,8,50
c2505,6,11,42
c2506,16,2,177
c2507,17,5,64
c2508,15,20,65
c2509,30,3,63
c2510,22,3,44
c2511,21,22,62
c2512,14,36,48
c2513,13,3,47
c2514,9,1,44
c2515,12,1,32
c2516,21,3,69
c2517,18,3,56
c2518,4,0,88
c2519,4,0,41
c2520,12,7,21
c2521,25,41,27
c2522,26,53,44
c2523,10,4,29
c2524,10,53,21
c2525,8,38,67
c2526,3,2,57
c2527,10,7,30
c2528,21,0,46
c2529,16,19,39
c2530,4,2,66
c2531,23,17,28
c2532,22,12,2
c2533,5,6,57
c2534,21,57,104
c2535,13,30,37
c2536,13,52,50
c2537,6,11,19
c2538,14,64,53
c2539,9,10,36
c2540,47,32,74
c2541,3,2,66
c2542,11,30,19
c2543,21,0,53
c2544,22,71,59
c2545,14,22,20
c2546,5,36,20
c2547,30,28,37
c2548,15,57,26
c2549,4,15,46
c2550,13,10,44
c2551,12,6,54
c2552,2,29,21
c2553,26,28,57
c2554,15,24,31
c2555,14,21,58
c2556,5,11,25
c2557,20,16,30
c2558,22,17,51
c2559,5,16,25
c2560,8,10,50
c2561,18,20,74
c2562,6,11,47
c2563,8,13,58
c2564,14,14,31
c2565,36,70,73
c2566,14,8,22
c2567,18,46,22
c2568,26,23,28
c2569,0,6,56
c2570,3,1,31
c2571,3,59,45
c2572,10,54,32
c2573,10,6,43
c2574,14,17,41
c2575,15,7,49
c2576,32,13,49
c2577,35,47,50
c2578,18,25,42
c2579,11,2,70
c2580,9,54,22
c2581,17,16,30
c2582,12,26,64
c2583,16,22,65
c2584,14,6,54
c2585,12,11,42
c2586,4,14,32
c2587,13,17,18
c2588,7,29,25
c2589,8,45,59
c2590,12,29,25
c2591,12,27,51
c2592,16,19,36
c2593,0,15,35
c2594,5,112,60
c2595,17,25,34
c2596,20,48,39
c2597,8,20,32
c2598,10,2,43
c2599,5,3,30
c2600,14,92,83
c2601,14,110,86
c2602,10,7,10
c2603,47,21,107
c2604,11,41,30
c2605,21,16,47
c2606,6,9,118
c2607,15,38,42
c2608,27,51,46
c2609,7,27,61
c2610,29,89,29
c2611,10,3,31
c2612,26,94,45
c2613,22,8,32
c2614,31,14,85
c2615,4,25,35
c2616,19,7,37
c2617,11,5,49
c2618,6,17,44
c2619,29,6,37
c2620,11,3,54
c2621,3,36,40
c2622,3,23,23
c2623,26,23,119
c2624,14,51,52
c2625,26,48,40
c2626,10,4,37
c2627,36,32,74
c2628,15,18,84
c2629,2,0,27
c2630,2,4,21
c2631,3,20,22
c2632,14,12,77
c2633,8,8,70
c2634,9,0,58
c2635,0,22,40
c2636,5,12,59
c2637,8,0,28
c2638,17,12,35
c2639,4,6,50
c2640,17,32,30
c2641,15,24,40
c2642,11,2,48
c2643,67,33,83
c2644,19,29,48
c2645,24,32,45
c2646,31,60,47
c2647,20,14,31
c2648,27,8,48
c2649,12,6,81
c2650,32,30,69
c2651,20,14,30
c2652,17,31,73
c2653,14,38,55
c2654,8,28,48
c2655,25,32,50
c2656,4,7,46
c2657,9,16,40
c2658,2,2,129
c2659,9,5,54
c2660,10,6,30
c2661,10,77,73
c2662,8,1,22
c2663,10,29,48
c2664,15,39,75
c2665,24,106,32
c2666,5,13,23
c2667,11,5,28
c2668,14,59,83
c2669,16,40,42
c2670,16,25,36
c2671,22,2,61
c2672,4,23,38
c2673,9,21,32
c2674,10,31,49
c2675,3,37,63
c2676,4,34,6
c2677,13,3,42
c2678,19,3,43
c2679,13,3,26
c2680,9,8,46
c2681,26,27,86
c2682,11,21,48
c2683,10,13,71
c2684,10,5,63
c2685,13,20,40
c2686,2,2,41
c2687,5,5,85
c2688,22,10,93
c2689,17,6,59
c2690,9,43,33
c2691,2,2,98
c2692,4,6,80
c2693,12,12,38
c2694,12,39,22
c2695,21,20,73
c2696,13,1,35
c2697,12,53,35
c2698,13,19,39
c2699,28,9,49
c2700,30,71,78
c2701,13,3,39
c2702,16,9,28
c2703,10,17,38
c2704,3,6,13
c2705,4,4,64
c2706,6,18,16
c2707,11,3,58
c2708,2,5,53
c2709,12,0,27
c2710,15,14,77
c2711,22,47,40
c2712,19,88,51
c2713,6,26,30
c2714,3,6,39
c2715,9,2,72
c2716,26,52,62
c2717,10,70,39
c2718,10,4,69
c2719,10,23,30
c2720,21,43,48
c2721,4,4,43
c2722,3,3,94
c2723,1,0,25
c2724,12,12,24
c2725,25,45,70
c2726,4,2,38
c2727,43,83,9
c2728,16,14,36
c2729,21,8,35
c2730,6,15,39
c2731,15,20,34
c2732,10,0,47
c2733,14,5,60
c2734,27,18,94
c2735,7,3,64
c2736,15,34,39
c2737,11,2,14
c2738,20,8,45
c2739,24,20,31
c2740,7,5,57
c2741,20,4,66
c2742,27,26,86
c2743,6,13,82
c2744,11,4,45
c2745,10,12,50
c2746,15,8,17
c2747,4,14,8
c2748,3,1,42
c2749,21,13,55
c2750,10,59,56
c2751,7,27,62
c2752,18,47,81
c2753,5,20,75
c2754,23,70,54
c2755,12,15,37
c2756,11,40,35
c2757,8,22,113
c2758,11,12,55
c2759,5,17,18
c2760,20,70,54
c2761,4,47,16
c2762,11,0,28
c2763,4,31,21
c2764,7,28,7
c2765,9,13,24
c2766,24,10,28
c2767,25,23,65
c2768,17,5,29
c2769,8,4,29
c2770,15,6,42
c2771,13,2,33
c2772,7,1,52
c2773,12,39,30
c2774,14,14,75
c2775,1,54,34
c2776,8,30,22
c2777,13,2,20
c2778,25,30,43
c2779,14,14,69
c2780,4,7,66
c2781,9,30,77
c2782,12,24,32
c2783,31,120,53
c2784,20,28,40
c2785,5,4,38
c2786,31,17,25
c2787,13,7,20
c2788,28,37,73
c2789,7,4,38
c2790,9,11,69
c2791,12,16,74
c2792,14,19,46
c2793,5,17,57
c2794,15,11,18
c2795,22,66,63
c2796,23,8,68
c2797,5,4,28
c2798,5,48,24
c2799,10,4,41
c2800,25,21,37
c2801,3,8,64
c2802,10,18,30
c2803,9,12,50
c2804,15,6,65
c2805,19,26,18
c2806,24,15,58
c2807,1,34,32
c2808,16,31,29
c2809,25,45,54
c2810,13,12,13
c2811,21,19,46
c2812,4,11,30
c2813,13,10,22
c2814,13,12,31
c2815,14,0,46
c2816,13,15,27
c2817,13,19,55
c2818,18,29,28
c2819,13,18,40
c2820,9,12,34
c2821,12,10,25
c2822,25,28,44
c2823,20,30,78
c2824,9,6,51
c2825,17,37,56
c2826,14,14,35
c2827,13,31,39
c2828,6,4,120
c2829,23,50,11
c2830,14,41,27
c2831,14,46,26
c2832,9,36,69
c2833,11,17,50
c2834,13,24,30
c2835,16,43,40
c2836,41,69,62
c2837,19,4,9
c2838,22,1,63
c2839,17,23,29
c2840,6,5,70
c2841,32,22,31
c2842,6,5,65
c2843,32,69,81
c2844,15,47,40
c2845,4,29,39
c2846,9,2,33
c2847,8,45,36
c2848,10,10,18
c2849,11,26,66
c2850,5,17,50
c2851,6,41,29
c2852,15,35,50
c2853,12,12,57
c2854,23,23,63
c2855,13,3,58
c2856,12,10,71
c2857,8,1,26
c2858,18,17,55
c2859,9,3,49
c2860,6,15,27
c2861,11,2,51
c2862,8,10,34
c2863,22,19,55
c2864,28,60,36
c2865,23,27,63
c2866,7,24,64
c2867,21,24,72
c2868,12,41,22
c2869,0,54,36
c2870,12,26,30
c2871,12,8,35
c2872,9,0,21
c2873,27,24,71
c2874,20,20,60
c2875,33,9,111
c2876,3,9,41
c2877,16,19,63
c2878,17,3,29
c2879,16,7,11
c2880,9,0,40
c2881,4,5,97
c2882,2,2,34
c2883,15,26,18
c2884,1,6,30
c2885,9,41,36
c2886,7,40,26
