cell_id,NPM1.5.170837545.C,PTPN11.12.112888211.A,FLT3.13.28592634.CATG
c1491,36,20,28
c1492,13,27,28
c1493,17,30,42
c1494,14,16,60
c1495,72,50,99
c1496,0,50,56
c1497,23,27,24
c1498,7,69,75
c1499,7,28,59
c1500,27,48,46
c1501,38,73,90
c1502,3,32,53
c1503,3,26,95
c1504,32,43,12
c1505,53,4,84
c1506,5,49,44
c1507,5,36,26
c1508,13,32,51
c1509,10,19,33
c1510,22,42,52
c1511,39,25,24
c1512,39,63,107
c1513,50,32,40
c1514,39,30,28
c1515,4,22,41
c1516,30,33,27
c1517,6,36,33
c1518,41,60,70
c1519,9,30,51
c1520,15,78,67
c1521,19,36,36
c1522,24,32,34
c1523,9,35,55
c1524,15,94,92
c1525,8,62,83
c1526,42,16,49
c1527,38,23,41
c1528,14,18,46
c1529,5,56,80
c1530,12,46,57
c1531,6,27,30
c1532,14,35,46
c1533,8,27,41
c1534,7,19,26
c1535,20,16,17
c1536,25,28,46
c1537,21,24,19
c1538,13,55,47
c1539,3,35,35
c1540,17,54,37
c1541,16,34,41
c1542,54,38,61
c1543,23,63,35
c1544,0,31,37
c1545,22,56,16
c1546,6,36,30
c1547,34,47,29
c1548,15,50,41
c1549,8,17,23
c1550,86,61,72
c1551,12,12,25
c1552,15,12,19
c1553,17,25,52
c1554,15,44,44
c1555,22,61,56
c1556,12,71,98
c1557,1,1,41
c1558,17,28,68
c1559,31,19,18
c1560,11,47,47
c1561,1,29,24
c1562,49,26,36
c1563,9,27,31
c1564,15,24,58
c1565,2,41,58
c1566,0,22,31
c1567,52,38,85
c1568,5,31,52
c1569,2,34,40
c1570,42,44,65
c1571,39,48,54
c1572,15,27,55
c1573,2,23,38
c1574,25,23,33
c1575,22,11,16
c1576,5,41,56
c1577,23,26,42
c1578,4,57,71
c1579,28,20,24
c1580,7,39,18
c1581,32,34,37
c1582,30,53,65
c1583,17,77,58
c1584,13,35,35
c1585,9,18,35
c1586,18,28,20
c1587,22,41,39
c1588,28,29,22
c1589,56,54,58
c1590,3,36,27
c1591,7,27,42
c1592,1,33,40
c1593,26,67,69
c1594,26,26,30
c1595,25,54,91
c1596,34,36,38
c1597,9,44,28
c1598,4,16,44
c1599,37,34,44
c1600,60,38,35
c1601,26,31,40
c1602,5,56,42
c1603,6,62,55
c1604,36,53,44
c1605,25,26,34
c1606,21,26,33
c1607,29,34,27
c1608,33,42,77
c1609,18,20,22
c1610,7,29,39
c1611,18,22,36
c1612,34,14,34
c1613,21,28,36
c1614,25,19,18
c1615,28,24,16
c1616,46,15,12
c1617,27,14,36
c1618,20,31,37
c1619,20,49,65
c1620,19,34,37
c1621,13,30,39
c1622,57,36,47
c1623,41,40,28
c1624,14,53,42
c1625,3,31,38
c1626,5,22,59
c1627,35,43,28
c1628,15,18,33
c1629,8,39,36
c1630,18,22,20
c1631,6,41,52
c1632,34,15,21
c1633,0,28,45
c1634,41,21,39
c1635,46,62,68
c1636,35,26,26
c1637,28,34,12
c1638,19,45,44
c1639,7,47,46
c1640,12,33,28
c1641,19,46,34
c1642,29,27,32
c1643,14,14,55
c1644,0,32,37
c1645,26,63,54
c1646,6,61,61
c1647,34,27,38
c1648,25,58,28
c1649,46,44,49
c1650,9,39,57
c1651,6,47,22
c1652,40,42,31
c1653,27,31,46
c1654,35,34,65
c1655,29,41,51
c1656,35,44,34
c1657,12,53,58
c1658,9,31,85
c1659,6,30,87
c1660,25,33,37
c1661,16,28,30
c1662,25,25,57
c1663,41,27,50
c1664,15,38,47
c1665,16,34,41
c1666,25,45,60
c1667,18,40,34
c1668,9,17,15
c1669,13,83,77
c1670,8,25,43
c1671,47,20,23
c1672,70,75,29
c1673,36,60,67
c1674,7,44,62
c1675,14,40,47
c1676,20,91,94
c1677,25,26,36
c1678,22,43,48
c1679,3,26,23
c1680,18,25,8
c1681,48,31,53
c1682,15,20,23
c1683,25,17,26
c1684,19,27,27
c1685,43,25,48
c1686,11,35,25
c1687,3,23,37
c1688,29,40,38
c1689,21,25,22
c1690,21,24,31
c1691,10,54,30
c1692,12,24,33
c1693,0,33,30
c1694,19,31,26
c1695,6,28,42
c1696,0,54,66
c1697,25,40,83
c1698,6,30,36
c1699,34,17,26
c1700,1,42,28
c1701,14,31,43
c1702,4,12,32
c1703,6,38,48
c1704,3,30,49
c1705,7,26,33
c1706,30,27,34
c1707,11,33,71
c1708,6,34,43
c1709,28,25,35
c1710,34,26,35
c1711,22,28,29
c1712,47,43,34
c1713,37,42,46
c1714,20,34,35
c1715,14,58,36
c1716,59,13,50
c1717,14,47,47
c1718,3,34,54
c1719,33,44,46
c1720,40,27,21
c1721,26,45,52
c1722,17,45,55
c1723,23,18,13
c1724,0,22,67
c1725,8,23,30
c1726,10,17,31
c1727,4,34,52
c1728,5,47,39
c1729,6,26,23
c1730,4,31,37
c1731,40,16,30
c1732,4,11,56
c1733,31,23,28
c1734,27,118,115
c1735,26,41,53
c1736,16,29,21
c1737,24,22,22
c1738,34,52,51
c1739,47,41,11
c1740,18,21,24
c1741,46,24,30
c1742,3,18,31
c1743,13,14,44
c1744,19,32,44
c1745,26,52,53
c1746,52,40,52
c1747,25,22,25
c1748,8,32,28
c1749,22,40,37
c1750,18,20,42
c1751,12,95,113
c1752,11,30,35
c1753,4,35,36
c1754,3,25,32
c1755,2,22,82
c1756,27,36,45
c1757,6,31,34
c1758,39,36,33
c1759,3,49,71
c1760,11,59,36
c1761,9,29,76
c1762,40,20,28
c1763,13,37,97
c1764,30,32,38
c1765,0,25,52
c1766,22,71,54
c1767,4,57,48
c1768,29,28,38
c1769,14,56,48
c1770,37,51,40
c1771,6,35,22
c1772,28,25,38
c1773,20,44,45
c1774,29,24,70
c1775,2,68,76
c1776,17,44,37
c1777,37,26,29
c1778,1,31,26
c1779,14,51,64
c1780,23,47,44
c1781,35,33,42
c1782,38,112,119
c1783,23,52,101
c1784,25,22,60
c1785,16,69,86
c1786,27,24,33
c1787,23,16,23
c1788,21,19,15
c1789,37,29,26
c1790,32,50,64
c1791,49,61,79
c1792,30,46,54
c1793,7,64,56
c1794,18,17,18
c1795,24,29,30
c1796,10,35,23
c1797,3,46,36
c1798,10,41,80
c1799,1,30,40
c1800,3,20,42
c1801,13,58,35
c1802,35,33,18
c1803,7,27,22
c1804,28,21,18
c1805,13,14,17
c1806,29,46,27
c1807,25,40,50
c1808,19,29,33
c1809,34,48,60
c1810,38,18,24
c1811,30,44,40
c1812,15,21,34
c1813,32,26,26
c1814,5,23,37
c1815,31,63,89
c1816,7,30,35
c1817,9,25,28
c1818,3,15,36
c1819,11,25,50
c1820,16,52,65
c1821,11,32,28
c1822,47,51,60
c1823,9,36,37
c1824,17,28,13
c1825,9,33,50
c1826,50,134,112
c1827,32,9,50
c1828,65,44,84
c1829,8,38,34
c1830,27,60,96
c1831,28,28,27
c1832,18,63,64
c1833,17,23,12
c1834,1,24,37
c1835,25,33,29
c1836,42,34,29
c1837,18,76,76
c1838,5,39,69
c1839,26,22,19
c1840,23,18,33
c1841,16,42,39
c1842,24,52,101
c1843,3,34,61
c1844,14,40,58
c1845,40,23,28
c1846,0,27,32
c1847,40,10,20
c1848,20,26,27
c1849,31,38,54
c1850,11,59,22
c1851,45,41,64
c1852,42,45,50
c1853,20,21,11
c1854,11,27,39
c1855,0,33,55
c1856,3,66,38
c1857,26,69,42
c1858,5,54,56
c1859,9,86,41
c1860,11,37,31
c1861,9,20,19
c1862,28,14,26
c1863,10,45,59
c1864,3,35,59
c1865,29,24,23
c1866,15,51,46
c1867,26,29,27
c1868,4,22,24
c1869,17,29,25
c1870,0,40,42
c1871,6,61,81
c1872,1,29,31
c1873,1,56,35
c1874,21,39,46
c1875,24,60,25
c1876,29,16,39
c1877,14,37,50
c1878,3,42,44
c1879,35,54,47
c1880,25,44,73
c1881,10,43,34
c1882,27,22,29
c1883,36,34,43
c1884,23,40,28
c1885,7,16,38
c1886,38,34,31
c1887,19,24,42
c1888,12,13,17
c1889,7,30,43
c1890,4,28,42
c1891,26,36,51
c1892,15,21,26
c1893,48,27,41
c1894,15,19,25
c1895,20,25,19
c1896,6,33,22
c1897,29,39,34
c1898,16,28,36
c1899,48,115,160
c1900,23,51,48
c1901,39,34,43
c1902,26,30,19
c1903,55,39,43
c1904,33,30,28
c1905,17,29,50
c1906,0,13,29
c1907,9,65,73
c1908,13,26,81
c1909,21,49,77
c1910,29,49,40
c1911,16,34,42
c1912,17,24,14
c1913,29,21,37
c1914,6,1,65
c1915,4,52,60
c1916,9,31,36
c1917,23,26,19
c1918,28,48,72
c1919,48,15,39
c1920,26,30,45
c1921,5,22,31
c1922,30,42,27
c1923,80,96,97
c1924,12,49,53
c1925,33,54,64
c1926,6,23,42
c1927,17,24,39
c1928,11,79,53
c1929,4,16,26
c1930,5,27,34
c1931,34,24,36
c1932,31,33,37
c1933,19,25,46
c1934,17,47,59
c1935,19,35,33
c1936,36,37,31
c1937,11,58,47
c1938,5,78,55
c1939,46,44,26
c1940,12,43,106
c1941,40,15,25
c1942,2,51,51
c1943,3,31,105
c1944,28,9,48
c1945,33,42,51
c1946,32,52,49
c1947,6,49,79
c1948,47,37,52
c1949,5,18,22
c1950,10,49,45
c1951,7,70,55
c1952,37,42,49
c1953,25,25,45
c1954,22,32,35
c1955,6,48,58
c1956,5,83,94
c1957,12,24,30
c1958,52,41,48
c1959,13,35,46
c1960,25,29,40
c1961,8,35,44
c1962,14,35,59
c1963,9,49,103
c1964,6,37,31
c1965,26,19,51
c1966,33,21,45
c1967,24,19,28
c1968,15,41,48
c1969,57,49,38
c1970,19,51,39
c1971,8,21,41
c1972,37,44,60
c1973,3,32,57
c1974,25,45,56
c1975,27,21,25
c1976,9,46,35
c1977,4,35,55
c1978,10,60,23
c1979,17,17,22
c1980,4,74,63
c1981,56,42,24
c1982,14,33,21
c1983,68,56,87
c1984,19,29,26
c1985,9,19,15
c1986,37,85,96
c1987,3,45,50
c1988,11,19,20
c1989,45,42,34
c1990,18,18,25
c1991,23,27,29
c1992,37,62,62
c1993,24,39,40
c1994,24,19,49
c1995,35,34,37
c1996,9,61,57
c1997,14,29,12
c1998,18,30,39
c1999,16,16,34
c2000,20,13,50
c2001,30,23,28
c2002,2,26,33
c2003,34,27,37
c2004,7,25,37
c2005,44,24,30
c2006,23,39,42
c2007,48,40,44
c2008,6,27,29
c2009,2,12,46
c2010,5,35,39
c2011,16,30,18
c2012,13,33,27
c2013,3,25,49
c2014,10,22,34
c2015,22,51,59
c2016,27,27,37
c2017,8,19,51
c2018,31,40,46
c2019,8,55,95
c2020,3,37,38
c2021,29,27,39
c2022,19,16,16
c2023,13,37,53
c2024,21,38,36
c2025,1,22,39
c2026,16,12,55
c2027,33,61,81
c2028,5,26,37
c2029,33,46,46
c2030,21,71,71
c2031,17,17,28
c2032,22,29,20
c2033,1,18,26
c2034,18,33,35
c2035,8,28,23
c2036,1,51,85
c2037,5,41,46
c2038,21,29,30
c2039,31,40,45
c2040,14,24,41
c2041,10,17,17
c2042,12,30,41
c2043,25,24,20
c2044,12,68,80
c2045,13,48,27
c2046,44,49,72
c2047,16,14,18
c2048,32,29,28
c2049,36,19,29
c2050,9,23,41
c2051,4,18,54
c2052,8,31,28
c2053,12,45,28
c2054,6,17,43
c2055,14,40,75
c2056,12,17,23
c2057,15,10,16
c2058,12,57,55
c2059,3,36,62
c2060,7,69,59
c2061,26,31,46
c2062,6,42,32
c2063,40,77,84
c2064,23,69,55
c2065,29,24,13
c2066,51,37,31
c2067,32,17,25
c2068,7,28,29
c2069,16,13,36
c2070,45,41,31
c2071,9,11,21
c2072,18,32,58
c2073,7,31,38
c2074,0,30,31
c2075,35,47,62
c2076,3,21,7
c2077,57,48,49
c2078,3,26,40
c2079,3,48,48
c2080,22,24,49
c2081,28,16,15
c2082,21,48,98
c2083,7,30,26
c2084,24,21,29
c2085,14,41,27
c2086,48,77,96
c2087,16,35,37
c2088,51,34,33
c2089,6,66,93
c2090,5,17,31
c2091,10,28,37
c2092,14,39,45
c2093,14,25,43
c2094,18,67,74
c2095,29,10,30
c2096,38,54,50
c2097,27,28,31
c2098,4,28,13
c2099,10,66,46
c2100,30,57,67
c2101,19,18,16
c2102,28,29,40
c2103,36,20,33
c2104,24,16,28
c2105,12,32,82
c2106,16,53,59
c2107,24,34,25
c2108,9,42,48
c2109,39,31,53
c2110,5,16,36
c2111,19,24,54
c2112,3,35,35
c2113,15,27,32
c2114,7,35,46
c2115,12,25,24
c2116,3,21,44
c2117,18,25,58
c2118,6,49,43
c2119,18,39,73
c2120,0,26,64
c2121,25,29,37
c2122,17,74,73
c2123,35,32,44
c2124,20,20,30
c2125,27,30,49
c2126,12,17,16
c2127,26,30,38
c2128,1,29,39
c2129,17,16,32
c2130,13,31,29
c2131,20,43,53
c2132,48,51,46
c2133,17,44,36
c2134,15,26,29
c2135,4,26,39
c2136,28,28,23
c2137,3,32,67
c2138,4,33,34
c2139,12,31,70
c2140,26,49,53
c2141,24,43,33
c2142,21,35,49
c2143,3,19,35
c2144,40,32,28
c2145,34,37,41
c2146,24,22,20
c2147,10,24,49
c2148,20,30,35
c2149,4,20,52
c2150,8,45,34
c2151,10,40,50
c2152,20,60,27
c2153,25,21,25
c2154,27,18,14
c2155,7,45,52
c2156,26,16,14
c2157,52,39,35
c2158,9,23,48
c2159,35,26,32
c2160,12,11,26
c2161,6,61,42
c2162,17,58,56
c2163,5,21,35
c2164,15,12,16
c2165,10,21,22
c2166,33,39,39
c2167,11,18,14
c2168,25,47,66
c2169,4,0,42
c2170,48,52,69
c2171,26,23,18
c2172,28,35,33
c2173,56,41,47
c2174,7,40,32
c2175,7,30,33
c2176,30,31,28
c2177,2,13,30
c2178,18,8,12
c2179,3,20,47
c2180,15,27,25
c2181,34,50,55
c2182,3,36,69
c2183,10,39,37
c2184,28,54,45
c2185,2,20,41
c2186,7,20,30
c2187,5,29,64
c2188,30,32,51
c2189,16,26,54
c2190,23,16,22
c2191,33,36,37
c2192,0,14,31
c2193,8,7,29
c2194,3,26,47
c2195,13,36,46
c2196,14,31,46
c2197,26,15,30
c2198,3,45,46
c2199,36,17,28
c2200,19,10,15
c2201,21,0,16
c2202,31,45,43
c2203,3,31,44
c2204,46,83,90
c2205,0,47,46
c2206,23,29,67
c2207,0,30,25
c2208,35,15,20
c2209,17,23,22
c2210,2,26,51
c2211,14,33,65
c2212,16,31,96
c2213,7,46,26
c2214,10,24,32
c2215,5,25,59
c2216,4,51,51
c2217,17,41,97
c2218,5,27,19
c2219,15,22,46
c2220,5,29,54
c2221,7,29,50
c2222,18,46,68
c2223,7,51,42
c2224,4,19,36
c2225,36,25,18
c2226,3,26,13
c2227,12,19,29
c2228,23,51,66
c2229,0,19,40
c2230,4,90,96
c2231,7,58,80
c2232,28,25,26
c2233,16,36,94
c2234,2,29,58
c2235,47,48,49
c2236,17,15,41
c2237,44,27,31
c2238,49,26,34
c2239,16,34,30
c2240,36,61,65
c2241,16,45,55
c2242,28,32,61
c2243,31,51,55
c2244,14,55,44
c2245,48,56,57
c2246,42,48,59
c2247,6,29,47
c2248,20,29,17
c2249,34,24,26
c2250,23,63,72
c2251,20,43,48
c2252,15,81,90
c2253,7,20,20
c2254,19,25,40
c2255,18,91,87
c2256,48,25,42
c2257,9,37,42
c2258,61,82,78
c2259,24,15,25
c2260,10,23,14
c2261,19,32,40
c2262,25,29,14
c2263,35,39,57
c2264,39,66,55
c2265,26,23,11
c2266,4,41,74
c2267,38,33,26
c2268,14,60,62
c2269,10,44,57
c2270,2,40,42
c2271,4,42,43
c2272,35,35,25
c2273,9,44,45
c2274,59,80,81
c2275,21,17,16
c2276,37,25,37
c2277,3,76,67
c2278,48,33,52
c2279,49,31,54
c2280,12,40,34
c2281,56,72,83
c2282,64,39,33
c2283,9,56,89
c2284,9,30,30
c2285,21,14,12
c2286,6,27,42
c2287,4,49,42
c2288,19,53,41
c2289,22,21,22
c2290,11,48,62
c2291,7,31,37
c2292,28,26,29
c2293,21,34,20
c2294,26,30,19
c2295,29,27,42
c2296,23,25,22
c2297,14,37,39
c2298,31,36,29
c2299,29,44,56
c2300,3,37,58
c2301,30,32,16
c2302,29,48,41
c2303,6,35,37
c2304,24,35,40
c2305,36,43,65
c2306,15,16,19
c2307,50,34,59
c2308,21,40,35
c2309,2,25,50
c2310,18,17,26
c2311,12,26,57
c2312,26,35,35
c2313,20,48,47
c2314,3,42,44
c2315,46,55,76
c2316,51,47,49
c2317,20,42,45
c2318,15,28,20
c2319,40,37,41
c2320,6,44,46
c2321,24,28,43
c2322,4,23,41
c2323,8,13,18
c2324,18,34,40
c2325,29,24,35
c2326,38,29,33
c2327,5,25,26
c2328,13,41,44
c2329,23,11,28
c2330,31,16,17
c2331,4,51,75
c2332,30,17,26
c2333,10,36,27
c2334,14,55,53
c2335,19,11,16
c2336,0,28,42
c2337,19,10,25
c2338,20,23,44
c2339,10,40,48
c2340,37,15,35
c2341,28,32,53
c2342,9,32,33
c2343,32,53,48
c2344,19,58,88
c2345,12,36,43
c2346,7,32,54
c2347,7,77,124
c2348,7,34,45
c2349,19,26,48
c2350,60,42,64
c2351,24,19,40
c2352,10,21,41
c2353,13,20,16
c2354,12,33,20
c2355,13,20,38
c2356,3,38,41
c2357,3,29,36
c2358,5,14,54
c2359,31,35,50
c2360,36,41,38
c2361,20,38,27
c2362,14,63,98
c2363,35,82,76
c2364,4,21,41
c2365,75,47,51
c2366,17,72,71
c2367,17,15,20
c2368,19,17,41
c2369,19,31,32
c2370,12,24,28
c2371,4,40,40
c2372,14,17,15
c2373,2,36,44
c2374,23,28,16
c2375,27,51,52
c2376,9,84,101
c2377,4,18,33
c2378,9,10,30
c2379,40,17,47
c2380,36,32,43
c2381,3,29,36
c2382,35,29,41
c2383,8,22,44
c2384,3,23,69
c2385,6,17,21
c2386,64,25,0
c2387,7,14,34
c2388,5,74,63
c2389,37,51,33
c2390,14,55,39
c2391,7,32,10
c2392,66,37,77
c2393,35,17,42
c2394,41,63,63
c2395,23,33,46
c2396,11,32,77
c2397,20,49,66
c2398,0,14,44
c2399,14,47,46
c2400,15,34,46
c2401,7,19,39
c2402,21,21,30
c2403,11,17,29
c2404,14,19,63
c2405,36,45,44
c2406,14,37,30
c2407,17,33,63
c2408,5,20,32
c2409,56,61,46
c2410,41,12,28
c2411,29,24,45
c2412,8,80,59
c2413,2,40,31
c2414,36,43,49
c2415,13,39,56
c2416,21,68,96
c2417,32,56,56
c2418,2,55,25
c2419,9,29,27
c2420,21,25,26
c2421,4,15,18
c2422,7,54,57
c2423,29,98,104
c2424,20,21,29
c2425,20,39,81
c2426,36,35,52
c2427,36,29,20
c2428,14,36,51
c2429,15,28,21
c2430,4,15,43
c2431,15,30,56
c2432,20,61,74
c2433,14,19,20
c2434,58,60,47
c2435,54,80,51
c2436,31,53,61
c2437,28,42,37
c2438,5,22,34
c2439,20,31,37
c2440,37,25,14
c2441,18,15,22
c2442,17,40,36
c2443,14,29,32
c2444,0,26,43
c2445,53,86,108
c2446,16,21,34
c2447,76,63,101
c2448,17,64,59
c2449,14,33,27
c2450,17,34,47
c2451,20,42,22
c2452,21,26,37
c2453,18,27,37
c2454,3,32,50
c2455,11,30,28
c2456,42,42,60
c2457,7,28,42
c2458,39,73,101
c2459,15,15,28
c2460,31,19,34
c2461,4,67,62
c2462,23,48,43
c2463,40,29,45
c2464,31,27,37
c2465,29,34,55
c2466,5,50,88
c2467,18,31,29
c2468,29,58,86
c2469,58,71,75
c2470,39,56,85
c2471,12,34,37
c2472,41,44,42
c2473,22,47,67
c2474,34,62,95
c2475,3,16,45
c2476,37,64,68
c2477,0,26,29
c2478,28,38,48
c2479,9,46,47
c2480,10,13,22
c2481,22,29,36
c2482,25,15,28
c2483,7,16,21
c2484,13,44,49
c2485,34,25,41
c2486,1,19,73
c2487,1,28,43
c2488,25,22,25
c2489,33,67,94
c2490,38,21,21
c2491,22,55,40
c2492,18,67,43
c2493,10,38,54
c2494,2,21,25
c2495,8,17,33
c2496,48,37,33
c2497,23,16,40
c2498,23,84,135
c2499,21,41,43
c2500,2,25,57
c2501,6,7,65
c2502,12,39,46
c2503,20,47,79
c2504,48,31,40
c2505,44,52,38
c2506,34,51,50
c2507,33,44,46
c2508,23,23,19
c2509,30,24,12
c2510,28,33,70
c2511,21,46,48
c2512,54,41,39
c2513,14,43,56
c2514,24,17,47
c2515,25,22,25
c2516,31,61,77
c2517,42,17,39
c2518,16,70,88
c2519,15,30,32
c2520,16,46,51
c2521,26,58,109
c2522,11,55,55
c2523,17,25,47
c2524,3,28,52
c2525,1,25,29
c2526,23,46,34
c2527,18,43,55
c2528,3,26,72
c2529,4,26,32
c2530,27,38,58
c2531,12,21,42
c2532,25,74,96
c2533,24,53,46
c2534,8,53,88
c2535,30,37,16
c2536,6,28,61
c2537,27,37,32
c2538,33,33,39
c2539,18,23,30
c2540,20,65,78
c2541,16,28,44
c2542,0,19,43
c2543,24,26,37
c2544,4,30,53
c2545,4,26,31
c2546,22,23,23
c2547,25,43,45
c2548,31,20,35
c2549,18,21,33
c2550,17,37,49
c2551,16,31,36
c2552,8,50,60
c2553,24,27,24
c2554,15,21,33
c2555,16,27,20
c2556,3,27,44
c2557,18,75,66
c2558,6,40,61
c2559,26,44,58
c2560,3,22,35
c2561,24,40,40
c2562,0,38,36
c2563,5,40,34
c2564,41,21,42
c2565,16,14,42
c2566,5,50,45
c2567,26,16,18
c2568,20,34,27
c2569,9,47,34
c2570,18,47,54
c2571,44,39,21
c2572,3,58,82
c2573,7,31,23
c2574,18,33,35
c2575,25,61,61
c2576,4,27,34
c2577,34,31,62
c2578,31,37,53
c2579,24,40,42
c2580,6,15,30
c2581,5,20,33
c2582,10,17,38
c2583,17,31,26
c2584,7,25,19
c2585,21,36,39
c2586,25,25,28
c2587,15,82,51
c2588,57,72,74
c2589,12,58,88
c2590,5,27,37
c2591,27,6,50
c2592,37,37,76
c2593,24,20,16
c2594,4,60,61
c2595,20,47,54
c2596,17,31,51
c2597,5,37,74
c2598,21,47,59
c2599,25,41,101
c2600,15,41,54
c2601,28,34,41
c2602,22,86,74
c2603,32,97,88
c2604,13,60,55
c2605,6,23,43
c2606,16,22,49
c2607,10,34,60
c2608,20,53,78
c2609,3,54,75
c2610,21,16,34
c2611,18,17,10
c2612,30,72,94
c2613,31,32,37
c2614,19,39,52
c2615,26,34,30
c2616,9,50,87
c2617,21,71,63
c2618,3,8,12
c2619,14,36,48
c2620,24,47,62
c2621,59,49,57
c2622,1,21,42
c2623,20,48,43
c2624,6,39,31
c2625,5,17,42
c2626,14,30,18
c2627,16,44,34
c2628,14,15,59
c2629,16,20,47
c2630,38,54,58
c2631,9,27,30
c2632,44,21,29
c2633,42,36,37
c2634,23,32,33
c2635,9,34,52
c2636,28,50,71
c2637,1,13,48
c2638,17,92,106
c2639,37,27,30
c2640,30,30,30
c2641,13,29,36
c2642,8,13,27
c2643,22,69,98
c2644,41,69,55
c2645,52,46,37
c2646,18,31,19
c2647,10,27,65
c2648,9,27,44
c2649,20,26,29
c2650,36,15,28
c2651,39,35,29
c2652,48,36,46
c2653,4,25,46
c2654,28,50,62
c2655,42,45,62
c2656,9,33,34
c2657,13,37,27
c2658,4,43,86
c2659,23,15,33
c2660,34,35,27
c2661,2,32,39
c2662,14,18,21
c2663,24,41,75
c2664,4,63,76
c2665,16,36,46
c2666,8,29,26
c2667,32,16,34
c2668,53,49,69
c2669,7,65,70
c2670,52,28,26
c2671,8,28,36
c2672,15,37,48
c2673,19,24,38
c2674,26,18,14
c2675,5,43,76
c2676,8,35,47
c2677,20,17,19
c2678,36,51,62
c2679,38,53,45
c2680,6,28,27
c2681,13,17,31
c2682,20,20,39
c2683,19,65,80
c2684,32,21,26
c2685,30,67,62
c2686,14,55,54
c2687,0,17,48
c2688,16,16,22
c2689,11,32,29
c2690,8,57,53
c2691,28,60,41
c2692,16,20,20
c2693,45,39,69
c2694,6,77,111
c2695,12,19,42
c2696,23,66,73
c2697,70,54,53
c2698,26,36,33
c2699,4,63,75
c2700,34,84,83
c2701,31,33,17
c2702,12,26,41
c2703,31,21,30
c2704,18,26,32
c2705,15,42,64
c2706,24,32,31
c2707,19,15,20
c2708,22,58,91
c2709,36,55,59
c2710,20,20,39
c2711,10,26,22
c2712,15,41,57
c2713,7,23,29
c2714,39,43,61
c2715,12,28,43
c2716,35,48,43
c2717,5,29,43
c2718,17,37,46
c2719,14,50,67
c2720,17,24,43
c2721,15,32,53
c2722,7,19,23
c2723,28,30,19
c2724,29,37,2
c2725,15,33,60
c2726,11,39,23
c2727,25,27,40
c2728,16,30,42
c2729,2,40,63
c2730,31,23,28
c2731,45,38,30
c2732,16,53,55
c2733,15,41,37
c2734,18,26,28
c2735,14,15,27
c2736,23,100,108
c2737,16,48,37
c2738,9,42,71
c2739,25,74,108
c2740,24,20,31
c2741,3,47,32
c2742,31,41,26
c2743,18,32,33
c2744,19,54,70
c2745,17,22,22
c2746,14,27,22
c2747,19,22,15
c2748,55,47,66
c2749,49,38,48
c2750,4,33,60
c2751,19,18,37
c2752,19,45,34
c2753,36,24,46
c2754,0,39,48
c2755,4,18,37
c2756,22,63,57
c2757,61,36,61
c2758,21,30,31
c2759,7,21,27
c2760,0,11,36
c2761,9,29,30
c2762,4,10,34
c2763,26,31,27
c2764,7,26,44
c2765,19,34,48
c2766,14,33,57
c2767,53,42,48
c2768,2,46,31
c2769,1,28,35
c2770,5,46,44
c2771,36,41,50
c2772,38,32,69
c2773,15,30,41
c2774,14,16,31
c2775,9,38,46
c2776,23,35,60
c2777,53,39,47
c2778,11,20,33
c2779,36,67,67
c2780,19,21,34
c2781,7,46,28
c2782,8,34,38
c2783,14,16,36
c2784,16,58,45
c2785,20,27,34
c2786,27,45,32
c2787,9,67,91
c2788,7,23,31
c2789,19,17,42
c2790,35,11,24
c2791,28,25,41
c2792,10,13,24
c2793,30,30,50
c2794,1,70,45
c2795,48,81,104
c2796,20,10,23
c2797,30,23,24
c2798,31,47,49
c2799,37,42,58
c2800,23,37,42
c2801,17,21,18
c2802,29,47,63
c2803,11,49,67
c2804,42,69,72
c2805,58,47,39
c2806,48,41,27
c2807,25,32,25
c2808,34,56,35
c2809,9,33,42
c2810,32,52,49
c2811,11,28,39
c2812,39,19,30
c2813,25,23,23
c2814,32,26,31
c2815,35,59,95
c2816,13,12,24
c2817,23,23,40
c2818,0,31,52
c2819,6,32,45
c2820,28,54,53
c2821,21,45,49
c2822,13,24,32
c2823,2,23,42
c2824,28,67,63
c2825,23,32,33
c2826,42,28,29
c2827,20,8,14
c2828,27,35,43
c2829,24,20,41
c2830,12,47,61
c2831,11,17,16
c2832,39,56,63
c2833,28,82,80
c2834,13,45,36
c2835,67,40,60
c2836,22,42,83
c2837,23,48,29
c2838,8,59,82
c2839,13,29,30
c2840,15,39,70
c2841,19,24,30
c2842,30,28,90
c2843,54,47,87
c2844,28,34,31
c2845,33,42,40
c2846,10,36,46
c2847,35,55,45
c2848,15,26,43
c2849,20,54,37
c2850,6,21,25
c2851,19,36,60
c2852,42,51,50
c2853,21,15,19
c2854,23,21,22
c2855,11,19,23
c2856,76,63,57
c2857,31,32,30
c2858,43,30,32
c2859,23,28,34
c2860,45,44,56
c2861,5,15,40
c2862,11,31,51
c2863,28,34,26
c2864,18,55,65
c2865,8,23,25
c2866,27,48,66
c2867,33,22,31
c2868,12,17,12
c2869,9,55,63
c2870,8,23,41
c2871,22,21,17
c2872,12,34,52
c2873,33,25,45
c2874,10,40,71
c2875,34,49,57
c2876,5,33,55
c2877,21,30,50
c2878,21,21,41
c2879,11,37,34
c2880,4,10,38
c2881,7,68,50
c2882,37,24,34
c2883,14,9,30
c2884,5,22,38
c2885,56,35,44
